Order_ID,Order_Date,Product,Category,City,Quantity,Price,Payment_Mode
1001,2026-09-01,Laptop,Electronics,Delhi,2,50000,UPI
1002,2026-09-01,Mouse,Accessories,Noida,5,500,Cash
1003,2026-09-02,Keyboard,Accessories,Delhi,3,1200,UPI
1004,2026-09-02,Laptop,Electronics,Noida,1,50000,Card
1005,2026-09-03,Monitor,Electronics,Ghaziabad,2,15000,UPI
1006,2026-09-03,Mouse,Accessories,Delhi,10,500,Cash
1007,2026-09-04,Keyboard,Accessories,Noida,4,1200,UPI
1008,2026-09-04,Laptop,Electronics,Ghaziabad,1,50000,Card
1009,2026-09-05,Monitor,Electronics,Delhi,3,15000,UPI
1010,2026-09-05,Mouse,Accessories,Ghaziabad,8,500,Cash
1002,2026-09-01,Mouse,Accessories,Noida,5,500,Cash
1011,2026-09-06,Laptop,Electronics,Delhi,2,50000,UPI
